GEN_1:1,আদিতে ঈশ্বর আকাশমণ্ডল ও পৃথিবীর সৃষ্টি করলেন।
ROM_3:23,"কারণ সবাই পাপ করেছে এবং ঈশ্বরের গৌরব-বিহীন হয়েছে,"
ROM_5:8,"কিন্তু ঈশ্বর আমাদের জন্য তাঁর নিজের ভালবাসা প্রমাণ করেছেন; কারণ আমরা যখন পাপী ছিলাম, তখন খ্রীষ্ট আমাদের জন্য মরলেন।"
ROM_6:23,কারণ পাপের বেতন মৃত্যু; কিন্তু ঈশ্বরের অনুগ্রহ দান হলো আমাদের প্রভু খ্রীষ্ট যীশুতে অনন্ত জীবন।
ROM_10:13,কারণ যে কেউ প্রভুর নামে ডাকে সে মুক্তি পাবে।
JHN_3:16,"কারণ ঈশ্বর জগতকে এত ভালবাসলেন যে, নিজের একমাত্র পুত্রকে দান করলেন, যেন যে কেউ তাঁতে বিশ্বাস করে সে বিনষ্ট না হয় কিন্তু অনন্ত জীবন পায়।"
JHN_14:6,"যীশু তাঁকে বললেন, “আমিই পথ, আমিই সত্য এবং আমিই জীবন; আমাকে ছাড়া কেউ পিতার কাছে যেতে পারে না।"
2CO_5:21,"যিনি পাপ জানেন না, সেই খ্রীষ্ট যীশুকে তিনি আমাদের পাপের সহভাগী হলেন, যেন আমরা খ্রীষ্টেতে ঈশ্বরের ধার্ম্মিকতায় ধার্মিক হই।"
ACT_16:31,"তাঁরা বললেন, তুমি ও তোমার পরিবার প্রভু যীশুতে বিশ্বাস করো, তাতে তুমি ও তোমার পরিবার পরিত্রান পাবে।"
REV_20:15,"আর যদি কারোর নাম জীবন পুস্তকে লেখা পাওয়া গেল না, তাকে আগুনের হ্রদে ফেলে দেওয়া হলো।"
REV_21:4,"তাদের সব চোখের জল তিনি মুছে দেবেন এবং মৃত্যু আর হবে না; দুঃখ, কান্না এবং ব্যাথাও আর থাকবে না; কারণ আগের জিনিসগুলি সব শেষ হয়ে গেছে।"
