GEN_1:1,В начале сотворил Бог небо и землю.
ROM_3:23,"потому что все согрешили и лишены славы Божией,"
ROM_5:8,"Но Бог Свою любовь к нам доказывает тем, что Христос умер за нас, когда мы были еще грешниками."
ROM_6:23,"Ибо возмездие за грех - смерть, а дар Божий - жизнь вечная во Христе Иисусе, Господе нашем."
ROM_10:13,"Ибо всякий, кто призовет имя Господне, спасется."
JHN_3:16,"Ибо так возлюбил Бог мир, что отдал Сына Своего Единородного, дабы всякий, верующий в Него, не погиб, но имел жизнь вечную."
JHN_14:6,"Иисус сказал ему: Я есмь путь, и истина, и жизнь; никто не приходит к Отцу, как только через Меня."
2CO_5:21,"Ибо не знавшего греха Он сделал для нас жертвою за грех, чтобы мы в Нем сделались праведными пред Богом."
ACT_16:31,Они же сказали: веруй в Господа Иисуса Христа и спасешься ты и весь дом твой.
REV_20:15,"И кто не был записан в книге жизни, тот был брошен в озеро огненное."
REV_21:4,"И отрет Бог всякую слезу с очей их, и смерти не будет уже; ни плача, ни вопля, ни болезни уже не будет, ибо прежнее прошло."
